,amount,pay_time,brand_name,category,bank_account,pay_date
0,60000,15:54:35,플러스 O2O 제휴-(주)마이리얼트립,항공,0041366933976143,2022-09-06
1,39000,15:57:02,플러스 O2O 제휴-(주)마이리얼트립,항공,0234420981757582,2022-09-06
2,70519,18:02:58,SAGRADA FAMILIA WEB B2,관광,0041366933976143,2022-09-07
3,853111,10:12:33,AIRBNB * HMFYA3QH3F,숙소,9998624062331551,2022-09-07
4,1031997,11:56:40,AIR FRANCE,항공,0041366933976143,2022-09-07
5,1031997,4:00:32,AIR FRANCE,항공,0908607631513705,2022-09-07
6,222200,0:16:37,KCP_1-(주)민다,숙소,0234420981757582,2022-09-08
7,225670,3:08:06,CASA BATLLO S.L.,관광,0908607631513705,2022-09-10
8,3500,9:05:36,빽다방 구의역점,카페,0041366933976143,2022-09-10
9,138000,21:57:19,플러스 O2O 제휴-(주)마이리얼트립,항공,9998624062331551,2022-09-10
10,405576,1:33:27,VUELING A EMI,항공,0908607631513705,2022-09-11
11,210246,11:32:02,AIRBNB * HMWRRM9YBR,숙소,0908607631513705,2022-09-11
12,373217,8:35:55,RYANAIR   D7Q0,항공,0908607631513705,2022-09-11
13,244054,15:33:32,RYANAIR   SVX0,항공,0041366933976143,2022-09-11
14,239428,22:12:04,인터넷상거래-(주)마이리얼트립,항공,0234420981757582,2022-09-11
15,598187,4:29:10,Hotel at Booking.com,숙소,0908607631513705,2022-09-12
16,192736,23:09:54,Hotel at Booking.com,숙소,0908607631513705,2022-09-12
17,450103,20:33:38,AIRBNB * HMEZKRYJ8P,숙소,0908607631513705,2022-09-13
18,405907,6:02:50,AIRBNB * HMMJKN4S8A,숙소,0908607631513705,2022-09-13
19,827560,22:09:10,AGROTURISME GOSSALBA,숙소,0234420981757582,2022-09-13
20,1133085,9:20:10,ASIANA9882481409266,항공,0041366933976143,2022-09-13
21,1133085,20:59:55,ASIANA9882481409267,항공,0041366933976143,2022-09-13
22,43567,8:49:06,ARENAS,식비,0041366933976143,2022-09-14
23,26717,2:03:36,EXPCABANYE,숙소,0234420981757582,2022-09-14
24,60772,7:47:04,(주)호텔신라인천공항면세점,쇼핑,0234420981757582,2022-09-14
25,20400,7:55:35,세븐일레븐 인천2공항에어사이드점,식비,0908607631513705,2022-09-14
26,15000,8:03:54,프라임약국,기타,0908607631513705,2022-09-14
27,70524,13:25:42,VIANA,숙소,0041366933976143,2022-09-15
28,42891,4:44:33,FFGC CREMALLERA MONTSE,교통,0041366933976143,2022-09-15
29,11288,8:42:32,SUBWAY,교통,0908607631513705,2022-09-15
30,21438,1:06:40,PHONIX THE SMART POINT,쇼핑,0234420981757582,2022-09-15
31,400,11:46:54,2208SMS,기타,0908607631513705,2022-09-15
32,400,18:09:56,2208SMS,기타,0041366933976143,2022-09-15
33,76156,2:31:29,RESTAURANTE BOSQUE PAL,식비,0041366933976143,2022-09-16
34,18708,19:54:56,EL CAFE DE LA PEDRERA,카페,0908607631513705,2022-09-16
35,11443,10:49:22,CASA BATLLO GUIXETA,관광,0908607631513705,2022-09-16
36,99199,14:08:14,LA PARADETA,식비,0908607631513705,2022-09-17
37,7938,23:37:12,BARCELONA AEROP TIENDA,항공,0234420981757582,2022-09-17
38,28617,8:21:38,PARK GELL,관광,9998624062331551,2022-09-17
39,100114,0:13:47,EL CORTE INGLES PORTAL,쇼핑,0234420981757582,2022-09-17
40,18891,1:15:39,STASHER.COM,기타,9998624062331551,2022-09-17
41,53739,11:45:14,ALSA INTERNET,교통,0908607631513705,2022-09-18
42,79478,15:55:49,ATAHUALPA,식비,0041366933976143,2022-09-18
43,13557,2:30:51,MESON TERRAZA MALVASIA,식비,0234420981757582,2022-09-18
44,59858,15:36:10,PASJE TAPAS,식비,0234420981757582,2022-09-19
45,73448,18:20:44,RIAD ELVIRA,숙소,0908607631513705,2022-09-19
46,596735,20:23:29,rentalcars.com,교통,9998624062331551,2022-09-20
47,114382,16:30:50,TABLAO FLAMENCO EL ARE,관광,0908607631513705,2022-09-20
48,27170,7:20:04,S I CATEDRAL DE SEVILL,관광,0041366933976143,2022-09-20
49,41466,23:53:31,SACATUENTRADA.ES 2 WEB,관광,0041366933976143,2022-09-20
50,173790,15:46:50,CENTAURO RENT A CAR S.,교통,0234420981757582,2022-09-20
51,34177,4:42:48,VINERIA SAN TELMO,식비,0234420981757582,2022-09-20
52,209389,9:03:14,rentalcars.com,교통,0234420981757582,2022-09-21
53,584677,12:55:35,rentalcars.com,교통,0908607631513705,2022-09-21
54,111154,11:41:06,RENTALCARS.COM,교통,0908607631513705,2022-09-21
55,17313,23:58:43,BODEGAS SUR,식비,9998624062331551,2022-09-21
56,36107,1:33:53,FCIA.RAMIREZ QUESADA,식비,0041366933976143,2022-09-21
57,55001,3:10:16,OK MOBILITY SEVILLA SA,교통,0041366933976143,2022-09-21
58,65122,0:59:08,RESTAURANTE TRES DE OR,식비,9998624062331551,2022-09-21
59,23881,14:05:52,CASTILLO DE ALMODOVAR,관광,0908607631513705,2022-09-21
60,9000,16:08:07,BOULANGERIE DIRENE,식비,9998624062331551,2022-09-22
61,121323,20:15:59,RESTAURANTE ALMUDAINA,식비,0908607631513705,2022-09-22
62,28510,16:41:39,BAR ALEGRIA,식비,0234420981757582,2022-09-22
63,28795,9:10:58,CAMINITO DEL REY,관광,0234420981757582,2022-09-22
64,100747,2:57:41,E.S. CARMONA-AUTOVIA,교통,0908607631513705,2022-09-23
65,36530,7:44:42,OK MOBILITY SEVILLA,교통,0908607631513705,2022-09-23
66,112095,14:06:50,CENTAURO PALMA,교통,0234420981757582,2022-09-23
67,8559,6:34:33,CABILDO,관광,0234420981757582,2022-09-23
68,28553,5:07:37,CABILDO,관광,9998624062331551,2022-09-23
69,3469,6:43:42,AP. SA GERRERIA,숙소,0234420981757582,2022-09-24
70,6768,18:12:58,EROSKI CITY COLONIA DE,쇼핑,0234420981757582,2022-09-24
71,80683,7:50:43,E.S.MORA VICENS,쇼핑,0234420981757582,2022-09-24
72,92955,7:48:13,BRISAS DE MAR,숙소,9998624062331551,2022-09-24
73,52079,16:48:59,EL PUENTECITO,식비,0908607631513705,2022-09-25
74,40634,8:38:04,AGROTURISME GOSSALBA,숙소,9998624062331551,2022-09-25
75,6180,8:36:51,ASPIT TREVISO SUD    -,교통,0234420981757582,2022-09-26
76,356753,8:05:49,Lavaredo Sport Misurin,쇼핑,0908607631513705,2022-09-27
77,42800,19:42:50,PARCHEGGIO ALLE TRE CI,교통,0908607631513705,2022-09-27
78,45430,19:01:50,FUNIVIE CIAMPINOI SPA,교통,0234420981757582,2022-09-28
79,62481,11:46:44,CABINOVIA SASSOLUNGO,교통,0041366933976143,2022-09-28
80,861784,8:30:22,LUFTHAN2202483550346,항공,0908607631513705,2022-09-29
81,861784,18:27:59,LUFTHAN2202483550347,항공,0041366933976143,2022-09-29
82,46180,5:59:10,ENI BAZZERA SUD,교통,0908607631513705,2022-09-30
83,29380,3:45:05,AUTOST BZN /EGA EGGEN/,교통,9998624062331551,2022-09-30
